Class,PK_CountLineCode,PK_CountStmt,PK_CountDeclClassMethod,PK_CountDeclClassVariable,PK_CountDeclInstanceMethod,PK_CountDeclInstanceVariable,PK_CountDeclClass,PK_CountDeclFile,PK_SumCyclomatic,PK_MaxNesting,PK_CountDeclMethodDefault,PK_CountDeclMethodPrivate,PK_CountDeclMethodProtected,PK_CountDeclMethodPublic,PK_PKNOAMM,PK_PKNOI,PK_PKNOAC,CSLEX_NumberOfTokens,CSLEX_NumberOfUniqueTokens,CSLEX_NumberOfIdentifies,CSLEX_NumberOfUniqueIdentifiers,CSLEX_NumberOfKeywords,CSLEX_NumberOfUniqueKeywords,CSLEX_NumberOfAssignments,CSLEX_NumberOfOperatorsWithoutAssignments,CSLEX_NumberOfUniqueOperators,CSLEX_NumberOfSemicolons,CSLEX_NumberOfDots,CSLEX_NumberOfReturnAndPrintStatements,CSLEX_NumberOfConditionalJumpStatements,CSLEX_NumberOfUnConditionalJumpStatements,CSLEX_NumberOfExceptionStatements,CSLEX_NumberOfNewStatements,CSLEX_NumberOfSuperStatements,CSORD_CountLineCode,CSORD_CountStmt,CSORD_CountDeclClassMethod,CSORD_CountDeclClassVariable,CSORD_CountDeclInstanceMethod,CSORD_CountDeclInstanceVariable,CSORD_SumCSNOP,CSORD_SumCyclomatic,CSORD_MaxNesting,CSORD_PercentLackOfCohesion,CSORD_CountClassCoupled,CSORD_RFC,CSORD_FANIN,CSORD_FANOUT,CSORD_ATFD,CSORD_CFNAMM,CSORD_DAC,CSORD_NumberOfMethodCalls,CSORD_CountDeclMethodDefault,CSORD_CountDeclMethodPrivate,CSORD_CountDeclMethodProtected,CSORD_CountDeclMethodPublic,CSORD_CSNOAMM,CSORD_MaxInheritanceTree,CSORD_CountClassDerived,CSORD_CountClassBase,CSORD_NIM,CSORD_NMO,CSORD_NOII,CSORD_SumCountPath,CSORD_SumKnots,CSORD_NumberOfDepends,CSORD_NumberOfDependsBy,CSORD_NumberOfMethods,Testability
weka.core.xml.XMLInstances,2854,2294,37,84,183,21,11,11,514,5,0,4,52,164,41,0,0,7059,443,1352,208,356,34,154,358,9,325,266,15,50,15,17,35,1,505,398,1,30,20,2,20,84,4,87,30,0,148,187,16,0,1,0,0,0,13,8,4,2,0,2,51,2,38,1181,60,10,2,21,0.4452299999999999
weka.core.xml.XMLOptions,2854,2294,37,84,183,21,11,11,514,5,0,4,52,164,41,0,0,2560,244,470,101,146,26,38,93,8,102,136,16,20,1,13,7,0,186,141,1,13,15,1,7,38,4,62,16,0,60,83,6,0,1,0,0,0,2,14,5,1,0,2,12,2,38,69,8,4,3,16,0.3427625565010984
weka.core.xml.XMLSerialization,2854,2294,37,84,183,21,11,11,514,5,0,4,52,164,41,0,0,10735,550,2140,263,621,35,204,219,13,450,489,85,114,8,56,65,1,807,627,1,16,57,5,94,176,5,82,45,0,441,437,23,0,5,0,0,2,30,26,8,1,1,2,12,1,38,1667,75,8,11,58,0.6816424578565814
weka.core.xml.XMLSerializationMethodHandler,2854,2294,37,84,183,21,11,11,514,5,0,4,52,164,41,0,0,1366,146,243,58,81,24,34,14,5,68,61,9,7,4,8,6,1,112,90,2,0,9,3,11,21,3,69,8,0,36,41,2,0,3,0,0,0,2,9,1,1,0,2,12,2,38,62,8,3,4,11,0.3856314102564103
weka.core.xml.XStream,2854,2294,37,84,183,21,11,11,514,5,0,4,52,164,41,0,0,2073,127,426,61,130,19,70,18,3,117,103,18,6,0,24,18,0,170,138,12,2,1,0,14,20,1,84,16,0,33,58,6,0,0,1,0,1,0,12,1,1,0,2,12,1,38,20,7,2,3,13,0.7853947368421053
weka.datagenerators.ClassificationGenerator,742,570,6,7,96,20,6,6,167,4,0,2,19,81,45,0,5,589,105,93,37,45,20,7,7,5,27,23,5,2,0,1,3,4,50,38,0,1,8,1,2,10,1,75,7,0,35,28,2,0,0,0,0,0,1,7,4,2,5,1,57,3,38,10,1,3,5,8,0.6575555555555556
weka.datagenerators.ClusterDefinition,742,570,6,7,96,20,6,6,167,4,0,2,19,81,45,0,5,435,88,64,33,44,18,3,3,2,15,15,4,0,0,4,0,0,36,24,0,1,11,1,3,8,1,57,7,0,17,17,0,0,1,0,0,0,1,10,5,1,1,4,12,4,38,8,1,4,2,11,0.4598927203065133
weka.datagenerators.ClusterGenerator,742,570,6,7,96,20,6,6,167,4,0,2,19,81,45,0,5,1456,175,229,64,96,24,15,19,8,67,54,13,10,0,2,9,4,131,98,0,1,20,4,7,30,2,82,9,0,65,65,2,0,2,0,0,0,2,18,12,2,2,1,57,3,38,42,4,4,5,20,0.7670194805194805
weka.datagenerators.DataGenerator,742,570,6,7,96,20,6,6,167,4,0,2,19,81,45,0,5,3808,331,645,146,249,30,55,42,9,180,166,54,32,1,15,23,0,337,256,6,2,39,9,17,75,4,94,20,0,180,170,9,0,5,3,0,0,14,31,18,1,3,5,12,5,38,351,13,7,14,45,0.7677321428571428
weka.datagenerators.RegressionGenerator,742,570,6,7,96,20,6,6,167,4,0,2,19,81,45,0,5,587,103,93,37,45,20,7,6,4,27,23,5,2,0,1,3,4,50,38,0,1,8,1,2,10,1,75,7,0,15,28,2,0,0,0,0,0,1,7,4,2,1,1,57,3,38,10,1,3,1,8,0.6618815789473683
weka.datagenerators.Test,742,570,6,7,96,20,6,6,167,4,0,2,19,81,45,0,5,1328,130,218,49,101,19,22,47,10,43,52,17,24,0,1,2,0,91,69,0,1,10,4,9,34,3,19,8,0,38,45,2,0,1,0,0,2,0,8,2,1,0,3,12,2,38,25,23,6,2,10,0.3833128568784086
weka.datagenerators.classifiers.classification.Agrawal,1741,1341,5,19,169,26,17,5,334,3,0,11,24,139,65,0,0,5959,397,828,148,528,27,93,218,17,249,123,70,63,0,8,54,4,490,347,1,13,27,5,12,48,3,92,23,0,65,114,9,0,2,1,0,0,5,23,11,3,0,2,65,11,38,77,5,17,0,28,0.3670361445783133
weka.datagenerators.classifiers.classification.BayesNet,1741,1341,5,19,169,26,17,5,334,3,0,11,24,139,65,0,0,2641,220,434,89,158,24,29,45,9,129,106,20,8,0,25,13,5,254,178,1,1,31,1,14,48,3,96,14,0,59,123,3,0,1,0,0,0,8,24,17,3,0,1,65,12,38,53,12,9,0,32,0.8263568464730291
weka.datagenerators.classifiers.classification.LED24,1741,1341,5,19,169,26,17,5,334,3,0,11,24,139,65,0,0,2153,223,327,93,127,24,32,42,11,97,81,14,12,0,8,18,4,156,127,1,2,17,2,3,30,2,91,18,0,30,70,8,0,1,0,0,0,1,17,7,3,0,2,65,11,38,38,3,14,0,18,0.856193078324226
weka.datagenerators.classifiers.classification.RDG1,1741,1341,5,19,169,26,17,5,334,3,0,11,24,139,65,0,0,6225,434,1009,194,407,27,131,134,14,302,174,48,54,0,23,41,4,525,412,1,1,52,9,25,102,3,95,19,0,118,229,14,0,2,0,0,9,6,38,20,3,0,1,65,10,38,270,12,13,1,53,0.8367407407407408
weka.datagenerators.classifiers.classification.RandomRBF,1741,1341,5,19,169,26,17,5,334,3,0,11,24,139,65,0,0,2818,268,467,111,174,24,52,75,13,159,87,21,16,0,7,22,4,241,202,1,1,25,7,7,42,2,90,18,0,51,107,8,0,4,0,0,0,4,22,10,3,0,1,65,10,38,64,4,10,0,26,0.8938378378378379
weka.datagenerators.classifiers.regression.Expression,387,295,2,2,52,9,2,2,68,1,0,0,9,45,22,0,0,1542,200,257,90,105,23,26,24,7,78,58,14,5,0,8,16,5,132,102,1,1,17,3,3,23,1,90,16,0,20,76,7,0,2,0,0,0,1,17,6,4,0,1,101,13,38,23,2,12,0,18,0.8577730496453901
weka.datagenerators.classifiers.regression.MexicanHat,387,295,2,2,52,9,2,2,68,1,0,0,9,45,22,0,0,2575,263,401,112,175,23,37,45,9,121,80,27,9,0,8,19,4,229,167,1,1,35,6,8,45,1,94,16,0,67,125,7,0,1,0,0,0,8,28,16,3,1,1,65,10,38,57,6,10,1,36,0.9085924657534248
weka.datagenerators.clusterers.BIRCHCluster,1582,1216,2,19,166,37,5,3,331,4,0,21,31,116,70,0,0,7171,561,1118,238,499,26,117,160,13,326,194,62,46,0,18,51,4,621,456,1,8,65,13,24,106,3,95,24,0,152,235,13,0,3,1,0,4,16,46,30,3,0,2,77,11,38,2439,12,18,1,66,0.4696666666666667
weka.datagenerators.clusterers.SubspaceCluster,1582,1216,2,19,166,37,5,3,331,4,0,21,31,116,70,0,0,5915,407,1009,188,393,32,133,160,17,309,186,23,67,7,10,46,5,490,406,1,8,31,5,24,103,4,94,26,0,80,191,13,0,6,1,0,4,4,24,11,3,0,1,77,13,38,674,19,16,1,32,0.517124183006536
weka.datagenerators.clusterers.SubspaceClusterDefinition,1582,1216,2,19,166,37,5,3,331,4,0,21,31,116,70,0,0,4589,353,724,155,307,25,60,109,11,203,142,40,46,0,12,37,3,422,305,0,1,55,13,16,101,4,93,18,0,151,158,4,0,7,0,0,0,11,44,29,2,0,1,23,7,38,586,12,9,1,55,0.7754857723577236
weka.estimators.CheckEstimator,3885,3022,32,13,211,95,27,23,739,6,15,14,39,175,83,5,1,13631,590,2246,255,833,30,340,292,17,670,368,180,146,19,56,73,0,1236,890,2,0,49,8,108,210,6,93,30,0,302,368,18,0,3,0,0,1,32,18,15,1,0,3,12,4,38,2342,73,17,0,51,0.6946833003357415
weka.estimators.DDConditionalEstimator,3885,3022,32,13,211,95,27,23,739,6,15,14,39,175,83,5,1,855,108,153,40,54,18,18,28,7,35,28,9,7,0,2,3,0,66,51,1,0,6,1,10,15,3,42,9,0,21,18,1,0,1,0,0,0,0,7,3,1,0,2,12,5,38,20,3,4,0,7,0.4118299513119628
weka.estimators.DKConditionalEstimator,3885,3022,32,13,211,95,27,23,739,6,15,14,39,175,83,5,1,971,116,180,41,59,18,21,32,8,43,34,9,8,0,2,5,0,73,60,1,0,6,2,9,16,3,42,10,0,24,25,2,0,2,0,0,0,0,7,3,1,0,2,12,5,38,21,3,5,0,7,0.5214386246864878
weka.estimators.DNConditionalEstimator,3885,3022,32,13,211,95,27,23,739,6,15,14,39,175,83,5,1,957,112,180,41,59,18,21,32,8,43,34,9,8,0,2,5,0,73,60,1,0,6,2,9,16,3,42,10,0,24,25,2,0,2,0,0,0,0,7,3,1,0,2,12,5,38,21,3,5,0,7,0.4864240939349113
weka.estimators.DiscreteEstimator,3885,3022,32,13,211,95,27,23,739,6,15,14,39,175,83,5,1,1275,141,211,56,93,24,22,30,12,57,54,14,14,0,2,4,1,101,83,1,1,10,2,9,26,3,36,11,0,60,31,3,0,1,0,0,0,0,11,6,2,0,2,36,5,38,27,7,6,8,11,0.6259552788735482
weka.estimators.Estimator,3885,3022,32,13,211,95,27,23,739,6,15,14,39,175,83,5,1,3860,314,650,133,277,30,70,78,11,134,153,23,34,0,26,24,0,308,198,7,1,17,3,48,61,3,91,25,0,132,111,14,0,0,0,0,2,0,22,9,1,6,6,12,6,38,1047,23,13,32,24,0.5243569617428698
weka.estimators.EstimatorUtils,3885,3022,32,13,211,95,27,23,739,6,15,14,39,175,83,5,1,2398,177,454,81,149,22,47,92,13,97,104,14,29,0,8,12,0,184,136,8,0,1,0,30,40,5,0,15,0,40,64,7,0,0,0,0,0,0,9,5,1,0,2,12,1,38,59,9,5,1,9,0.4939062432571991
weka.estimators.KDConditionalEstimator,3885,3022,32,13,211,95,27,23,739,6,15,14,39,175,83,5,1,831,104,150,39,52,16,18,27,7,35,28,9,7,0,2,3,0,64,51,1,0,6,1,9,15,3,42,9,0,20,18,1,0,1,0,0,0,0,7,3,1,0,2,12,5,38,20,3,4,0,7,0.4885730157394158
weka.estimators.KKConditionalEstimator,3885,3022,32,13,211,95,27,23,739,6,15,14,39,175,83,5,1,2169,181,387,80,124,21,62,84,14,104,55,12,19,0,2,9,0,171,134,1,0,8,8,11,29,3,55,13,0,43,45,4,0,3,0,0,2,0,7,3,1,0,2,12,5,38,62,11,6,0,9,0.7192660550458715
weka.estimators.KernelEstimator,3885,3022,32,13,211,95,27,23,739,6,15,14,39,175,83,5,1,2505,203,421,85,144,26,61,113,15,117,67,19,23,2,2,5,1,198,156,1,2,13,7,7,38,3,68,12,0,62,46,3,0,2,0,0,2,0,12,8,2,0,2,36,5,38,50,17,7,4,14,0.7690967741935484
weka.estimators.MahalanobisEstimator,3885,3022,32,13,211,95,27,23,739,6,15,14,39,175,83,5,1,1770,166,296,77,93,21,32,59,10,69,91,13,16,0,2,4,1,129,95,1,2,7,4,8,25,3,65,12,0,29,37,3,0,1,0,0,1,0,7,3,2,0,2,36,5,38,337,9,7,1,8,0.728732026143791
weka.estimators.NDConditionalEstimator,3885,3022,32,13,211,95,27,23,739,6,15,14,39,175,83,5,1,831,104,150,39,52,16,18,27,7,35,28,9,7,0,2,3,0,64,51,1,0,6,1,9,15,3,42,9,0,20,18,1,0,1,0,0,0,0,7,3,1,0,2,12,5,38,20,3,4,0,7,0.4695
weka.estimators.NNConditionalEstimator,3885,3022,32,13,211,95,27,23,739,6,15,14,39,175,83,5,1,2128,186,383,87,119,22,50,84,14,88,80,11,18,0,2,11,0,150,117,1,1,8,8,11,28,3,71,15,0,40,46,3,0,4,1,0,3,0,6,3,1,0,2,12,5,38,61,9,6,0,9,0.726233009708738
weka.estimators.NormalEstimator,3885,3022,32,13,211,95,27,23,739,6,15,14,39,175,83,5,1,1173,166,193,68,81,21,16,43,10,47,47,15,6,0,2,1,1,96,67,1,1,11,6,6,19,2,72,12,0,47,37,2,0,0,0,0,1,0,11,7,2,0,2,36,5,38,19,5,7,4,12,0.819130023640662
weka.estimators.PoissonEstimator,3885,3022,32,13,211,95,27,23,739,6,15,14,39,175,83,5,1,802,130,138,53,59,21,8,21,11,33,40,11,5,0,2,1,1,64,48,1,1,7,3,6,14,2,79,11,0,22,26,2,0,0,0,0,2,0,6,3,2,0,2,36,5,38,14,4,6,0,8,0.7025882352941177
weka.estimators.UnivariateEqualFrequencyHistogramEstimator,3885,3022,32,13,211,95,27,23,739,6,15,14,39,175,83,5,1,5694,332,909,137,292,24,164,322,18,269,174,34,56,5,2,21,0,385,340,1,1,13,12,8,70,4,73,17,1,65,88,11,1,3,2,0,0,3,11,4,1,0,4,12,5,38,358622,27,6,1,14,0.5328120212933223
weka.estimators.UnivariateKernelEstimator,3885,3022,32,13,211,95,27,23,739,6,15,14,39,175,83,5,1,4246,277,709,120,221,22,113,234,13,198,154,30,43,6,0,12,0,274,251,1,1,8,9,11,52,4,70,17,1,49,61,10,1,1,2,0,0,2,7,0,1,0,4,12,5,38,358572,23,6,2,9,0.4656355176592797
weka.estimators.UnivariateNormalEstimator,3885,3022,32,13,211,95,27,23,739,6,15,14,39,175,83,5,1,1754,144,265,52,80,15,38,98,11,80,64,15,13,0,0,5,0,108,101,1,1,6,6,6,20,2,59,7,1,35,27,3,1,0,1,0,0,1,6,0,1,0,4,12,5,38,589,0,4,3,7,0.3245625
weka.experiment.AveragingResultProducer,11565,8468,26,89,904,248,50,44,2253,6,30,13,46,841,488,8,1,6046,386,980,163,358,30,110,178,9,239,175,30,63,3,34,45,0,520,347,0,1,43,11,24,107,6,86,22,0,123,171,6,0,6,2,0,0,6,37,20,1,0,6,12,24,38,673,19,14,2,43,0.6980369393139843
weka.experiment.CSVResultListener,11565,8468,26,89,904,248,50,44,2253,6,30,13,46,841,488,8,1,1754,178,294,76,120,26,26,30,9,70,72,25,15,0,12,12,0,150,105,0,1,17,4,12,34,2,82,15,0,38,58,3,0,3,1,0,1,0,16,6,1,1,4,12,9,38,66,8,7,9,17,0.7351036547813715
weka.experiment.ClassifierSplitEvaluator,11565,8468,26,89,904,248,50,44,2253,6,30,13,46,841,488,8,1,8573,521,1550,241,406,28,317,367,14,426,256,25,75,0,18,100,0,670,533,0,6,31,12,11,109,6,87,31,0,92,203,13,0,4,0,0,0,1,30,23,1,1,5,12,15,38,7004369,19,15,6,31,0.7120950914106212
weka.experiment.CostSensitiveClassifierSplitEvaluator,11565,8468,26,89,904,248,50,44,2253,6,30,13,46,841,488,8,1,3747,306,731,153,182,28,158,167,12,189,125,12,26,0,10,60,3,276,226,0,2,12,1,4,39,4,83,27,1,28,94,11,0,1,2,0,0,0,12,8,2,0,1,43,9,38,10262,7,12,0,12,0.4983461538461538
weka.experiment.CrossValidationResultProducer,11565,8468,26,89,904,248,50,44,2253,6,30,13,46,841,488,8,1,4129,379,669,166,235,27,85,103,10,156,148,23,30,0,17,35,0,353,223,2,5,32,8,12,66,4,89,24,1,89,134,7,0,6,5,0,0,0,34,21,1,1,5,12,19,38,143,6,14,5,34,0.7447769953051644
weka.experiment.CrossValidationSplitResultProducer,11565,8468,26,89,904,248,50,44,2253,6,30,13,46,841,488,8,1,1275,154,216,65,63,21,28,43,8,47,48,3,10,0,10,8,0,99,65,0,1,5,0,2,17,3,0,11,0,18,39,3,0,0,0,0,0,0,5,1,2,0,1,46,5,38,94,3,8,0,5,0.3305050565139797
weka.experiment.DatabaseResultListener,11565,8468,26,89,904,248,50,44,2253,6,30,13,46,841,488,8,1,2192,220,348,96,155,27,38,61,11,94,59,17,36,1,14,8,1,197,144,0,1,15,7,15,51,3,80,12,0,54,69,4,0,3,1,0,0,4,11,3,2,1,2,64,6,38,307,15,5,3,15,0.420886075949367
weka.experiment.DatabaseResultProducer,11565,8468,26,89,904,248,50,44,2253,6,30,13,46,841,488,8,1,2736,258,414,98,202,26,31,62,10,96,88,18,28,0,26,21,6,253,153,0,1,28,4,15,56,2,73,15,0,50,99,4,0,4,1,0,0,0,28,14,3,0,4,79,24,38,84,4,12,0,28,0.6154311294765841
weka.experiment.DatabaseUtils,11565,8468,26,89,904,248,50,44,2253,6,30,13,46,841,488,8,1,8827,610,1399,247,635,33,156,275,14,380,294,91,115,2,65,30,0,810,559,4,19,48,17,38,203,5,93,31,0,365,234,10,0,6,2,0,2,1,49,17,1,4,3,12,1,38,3774,293,4,17,52,0.5038678955453149
weka.experiment.DensityBasedClustererSplitEvaluator,11565,8468,26,89,904,248,50,44,2253,6,30,13,46,841,488,8,1,4232,344,714,156,263,28,120,115,11,189,138,24,36,0,16,45,0,357,254,0,3,28,9,9,67,5,86,26,0,60,124,12,0,3,1,0,0,1,27,19,1,0,5,12,15,38,128,11,15,0,28,0.7295276752767528
weka.experiment.Experiment,11565,8468,26,89,904,248,50,44,2253,6,30,13,46,841,488,8,1,6817,516,1103,236,389,29,140,203,14,276,264,32,76,0,28,42,0,597,396,3,2,40,18,20,122,6,90,40,0,262,228,19,0,12,1,0,1,1,41,29,1,1,4,12,5,38,732,17,20,33,43,0.479036312849162
weka.experiment.ExplicitTestsetResultProducer,11565,8468,26,89,904,248,50,44,2253,6,30,13,46,841,488,8,1,5416,468,878,190,309,28,89,148,12,216,201,33,46,0,20,47,0,480,314,1,5,48,13,17,97,3,93,24,2,112,185,9,0,7,5,0,0,1,48,31,1,0,5,12,19,38,926,11,15,0,49,0.7710074441687346
weka.experiment.InstanceQuery,11565,8468,26,89,904,248,50,44,2253,6,30,13,46,841,488,8,1,4665,360,831,172,278,35,98,131,13,215,214,27,49,26,11,38,1,392,284,2,1,16,3,8,92,5,85,25,0,60,124,18,0,1,0,0,0,0,18,9,2,0,3,64,5,38,914460,163,12,4,18,0.3209901960784314
weka.experiment.InstancesResultListener,11565,8468,26,89,904,248,50,44,2253,6,30,13,46,841,488,8,1,1839,183,350,88,131,29,39,41,11,79,87,5,19,5,9,24,0,146,106,0,1,6,4,5,29,4,54,20,0,32,55,8,0,4,0,0,0,0,6,1,2,0,1,29,5,38,216,18,9,2,6,0.465821797061193
weka.experiment.LearningRateResultProducer,11565,8468,26,89,904,248,50,44,2253,6,30,13,46,841,488,8,1,3632,301,555,121,241,23,56,94,10,134,109,23,30,0,26,30,0,324,202,0,2,37,8,19,67,2,85,17,0,74,116,5,0,4,1,0,0,0,37,20,1,0,6,12,24,38,149,8,11,0,37,0.7612783602013402
weka.experiment.OutputZipper,11565,8468,26,89,904,248,50,44,2253,6,30,13,46,841,488,8,1,629,103,126,47,46,15,10,4,4,25,36,2,3,0,5,11,0,51,35,1,0,4,3,4,9,1,53,13,0,25,29,4,0,3,0,0,0,0,5,1,1,0,2,12,1,38,9,2,2,4,5,0.5388184698958804
weka.experiment.PairedCorrectedTTester,11565,8468,26,89,904,248,50,44,2253,6,30,13,46,841,488,8,1,2069,247,413,125,108,25,37,71,12,81,133,16,22,2,11,12,0,171,112,1,1,5,0,5,30,4,0,23,0,23,52,9,0,0,0,0,0,0,6,4,2,0,2,55,6,38,4825,10,15,2,6,0.2056825396825397
weka.experiment.PairedStats,11565,8468,26,89,904,248,50,44,2253,6,30,13,46,841,488,8,1,2246,208,378,83,122,22,32,99,17,74,119,6,21,2,7,13,0,189,108,1,0,10,10,11,33,4,70,16,0,63,49,3,0,3,0,0,0,0,11,3,1,1,2,12,2,38,87,13,5,5,11,0.6565034203901413
weka.experiment.PairedStatsCorrected,11565,8468,26,89,904,248,50,44,2253,6,30,13,46,841,488,8,1,595,88,106,38,32,13,13,26,9,19,37,1,7,0,0,0,1,50,30,0,0,3,1,2,10,2,33,7,0,16,14,0,0,0,0,0,0,0,3,1,2,0,1,23,2,38,38,5,5,1,3,0.271955877299105
weka.experiment.PairedTTester,11565,8468,26,89,904,248,50,44,2253,6,30,13,46,841,488,8,1,9409,594,1598,275,567,30,172,245,13,414,364,65,107,7,41,57,0,811,597,1,1,42,18,27,145,5,91,36,0,189,267,14,0,11,3,0,0,3,40,29,1,1,4,12,39,38,13273,47,21,4,43,0.4361777777777777
weka.experiment.PropertyNode,11565,8468,26,89,904,248,50,44,2253,6,30,13,46,841,488,8,1,643,99,128,43,44,19,10,6,3,24,36,3,1,0,8,3,0,50,34,0,1,6,3,6,9,1,44,13,0,20,24,0,0,3,0,0,2,0,4,1,1,0,3,12,2,38,9,3,2,7,6,0.4276666666666667
weka.experiment.RandomSplitResultProducer,11565,8468,26,89,904,248,50,44,2253,6,30,13,46,841,488,8,1,4799,407,793,178,273,28,101,118,11,189,173,24,38,0,17,44,0,408,266,1,4,35,9,12,76,5,89,24,1,89,148,9,0,6,5,0,0,0,36,23,1,0,5,12,19,38,1223,9,15,2,36,0.7454783549783551
weka.experiment.RegressionSplitEvaluator,11565,8468,26,89,904,248,50,44,2253,6,30,13,46,841,488,8,1,5088,379,908,177,282,27,169,181,12,235,168,23,46,0,18,60,0,417,307,0,3,25,8,8,74,6,83,28,0,63,143,12,0,4,0,0,0,1,24,17,1,0,5,12,15,38,10303,15,14,1,25,0.7244502688172042
weka.experiment.RemoteEngine,11565,8468,26,89,904,248,50,44,2253,6,30,13,46,841,488,8,1,2644,288,512,140,134,30,42,82,9,116,176,23,18,0,20,12,1,232,153,1,2,8,5,6,27,3,77,23,0,38,72,6,0,3,1,0,4,0,5,1,1,0,3,37,3,38,167,7,8,2,9,0.0083333333333333
weka.experiment.RemoteExperiment,11565,8468,26,89,904,248,50,44,2253,6,30,13,46,841,488,8,1,5279,472,905,232,367,32,102,116,16,239,221,21,45,1,20,38,9,466,325,1,6,35,14,25,77,4,90,32,0,116,167,16,0,9,1,0,3,4,29,16,2,0,1,55,17,38,1869,18,17,6,36,0.5542883597883599
weka.experiment.RemoteExperimentSubTask,11565,8468,26,89,904,248,50,44,2253,6,30,13,46,841,488,8,1,621,113,111,47,28,14,7,15,2,29,38,7,2,0,2,2,0,55,39,0,0,6,2,1,9,2,50,10,0,13,24,0,0,2,0,0,0,0,6,4,1,0,3,12,3,38,11,3,5,1,6,0.3802004704007771
weka.experiment.ResultMatrix,11565,8468,26,89,904,248,50,44,2253,6,30,13,46,841,488,8,1,12165,613,1787,245,849,30,253,369,18,584,225,114,136,13,1,44,0,1082,841,0,4,127,37,87,258,4,96,10,0,575,379,3,0,17,0,0,0,14,113,83,1,6,4,12,4,38,1467892,63,4,13,127,0.828
weka.experiment.ResultMatrixCSV,11565,8468,26,89,904,248,50,44,2253,6,30,13,46,841,488,8,1,1889,196,320,73,105,24,22,68,13,112,74,28,22,5,0,3,3,168,151,1,1,15,0,4,38,4,0,7,0,20,59,4,0,0,0,0,0,0,16,5,2,0,1,139,12,38,123,9,4,1,16,0.7056332981181341
weka.experiment.ResultMatrixHTML,11565,8468,26,89,904,248,50,44,2253,6,30,13,46,841,488,8,1,2412,230,397,81,120,24,25,103,12,135,95,28,29,5,0,3,2,213,180,1,1,14,0,4,44,4,0,8,0,18,65,4,0,0,0,0,0,0,15,5,2,0,1,139,11,38,154,16,4,1,15,0.7585185185185185
weka.experiment.ResultMatrixLatex,11565,8468,26,89,904,248,50,44,2253,6,30,13,46,841,488,8,1,3118,289,487,91,141,25,33,148,12,170,118,27,38,7,0,3,3,285,224,1,1,14,0,4,53,6,0,8,0,18,77,4,0,0,0,0,0,0,15,4,2,0,1,139,11,38,31280,21,4,1,15,0.7771043113425925
weka.experiment.ResultMatrixPlainText,11565,8468,26,89,904,248,50,44,2253,6,30,13,46,841,488,8,1,3734,259,654,105,158,23,62,168,13,199,127,27,47,5,0,8,2,294,261,1,1,13,0,4,61,6,0,8,0,45,81,4,0,0,0,0,0,0,14,4,2,0,1,139,10,38,194462,17,3,9,14,0.7557115557959257
weka.experiment.ResultMatrixSignificance,11565,8468,26,89,904,248,50,44,2253,6,30,13,46,841,488,8,1,1648,180,268,64,94,23,15,46,14,85,73,26,16,1,0,6,2,139,118,1,1,15,0,5,32,4,0,6,0,10,56,3,0,0,0,0,0,0,16,6,2,0,1,139,12,38,543,5,3,1,16,0.7485539321838764
weka.experiment.Stats,11565,8468,26,89,904,248,50,44,2253,6,30,13,46,841,488,8,1,1263,160,211,61,76,22,28,52,13,48,55,5,11,2,2,5,0,101,69,1,1,7,7,7,20,4,64,12,0,42,33,3,0,0,0,0,0,0,8,1,1,0,3,12,2,38,27,7,3,15,8,0.6174050434471021
weka.experiment.xml.XMLExperiment,156,135,1,4,7,0,1,1,27,3,0,0,2,6,1,0,0,1978,218,429,122,122,22,37,20,7,92,132,6,19,2,7,17,2,141,120,1,4,7,0,7,27,3,0,28,0,42,83,10,0,0,0,0,0,2,6,1,3,0,1,85,5,38,178,7,11,2,8,0.2280837053571428
weka.filters.AllFilter,1509,1160,11,6,91,17,11,11,275,3,0,0,31,71,34,4,4,725,119,136,46,44,20,4,4,2,45,48,6,2,0,3,3,2,68,55,1,1,6,0,5,9,1,0,10,0,8,24,2,0,0,0,0,0,0,7,3,2,0,2,48,6,38,10,0,8,4,7,0.6835443037974684
weka.filters.CheckSource,1509,1160,11,6,91,17,11,11,275,3,0,0,31,71,34,4,4,2820,244,502,105,159,23,43,71,9,132,137,16,33,3,13,21,0,244,182,1,0,15,4,10,49,3,85,19,0,38,89,11,0,3,0,0,0,2,14,11,1,0,3,12,4,38,257,17,9,0,16,0.5535134778474257
weka.filters.MultiFilter,1509,1160,11,6,91,17,11,11,275,3,0,0,31,71,34,4,4,1954,189,337,87,135,26,38,30,11,97,72,18,21,1,5,9,6,167,140,1,1,19,3,8,41,3,88,15,0,38,84,7,0,1,0,0,0,6,14,8,4,0,1,67,14,38,51,6,13,1,20,0.6871183169033006
weka.filters.SimpleBatchFilter,1509,1160,11,6,91,17,11,11,275,3,0,0,31,71,34,4,4,535,94,78,30,45,22,10,11,7,26,11,3,8,0,4,5,0,42,38,0,1,3,0,1,11,2,0,5,0,4,32,1,0,0,0,0,0,1,2,0,3,6,1,60,3,38,25,0,5,6,3,0.261
weka.filters.SimpleFilter,1509,1160,11,6,91,17,11,11,275,3,0,0,31,71,34,4,4,602,107,95,44,60,21,7,0,0,24,20,5,2,0,4,4,1,48,35,0,1,12,1,5,10,1,75,7,0,58,29,1,0,0,0,0,0,4,8,5,2,2,2,48,4,38,10,0,5,15,12,0.7080617283950617
