Class,CSORD_AvgLineCodeExe,CSLEX_NumberOfConditionalJumpStatements,CSORD_AvgLineCode,CSORD_NumberOfDepends,CSLEX_NumberOfUniqueIdentifiers,CSLEX_NumberOfDots,CSORD_CountDeclInstanceMethod,CSORD_CountDeclMethodPublic,CSORD_NIM,CSORD_AvgStmtDecl,CSORD_CountDeclClassMethod,CSLEX_NumberOfNewStatements,CSLEX_NumberOfReturnAndPrintStatements,CSORD_NumberOfClassConstructors,PK_CountDeclClassMethod,Testability
com.aelitis.azureus.core.peermanager.messaging.bittorrent.BTMessageDecoder,14.083333333333336,35,19,10,120,111,12,9,12,3.0,0,7,10,1,7,0.3438730158730158
com.aelitis.azureus.core.peermanager.messaging.bittorrent.BTMessageEncoder,0.5,0,2,4,16,18,2,2,12,1.0,0,1,1,1,7,0.44
com.aelitis.azureus.core.peermanager.messaging.bittorrent.BTMessageFactory,22.0,10,26,31,139,236,0,4,12,3.75,4,51,23,0,7,0.2416786116667182
com.aelitis.azureus.core.peermanager.messaging.bittorrent.BTPiece,2.5,9,3,5,54,53,14,14,12,1.1428571428571428,0,6,12,1,7,0.7412651748971193
com.aelitis.azureus.core.peermanager.messaging.bittorrent.BTRawMessage,0.9411764705882352,1,4,5,43,29,17,17,12,1.0,0,3,13,1,7,1.0
com.aelitis.azureus.core.peermanager.messaging.bittorrent.BTRejectRequest,2.9375,11,4,5,60,62,16,16,12,1.25,0,7,16,1,7,0.7571876633702557
com.aelitis.azureus.core.peermanager.messaging.bittorrent.BTRequest,2.9375,11,4,5,60,62,16,16,12,1.25,0,7,16,1,7,0.7608291613520409
com.aelitis.azureus.core.peermanager.messaging.bittorrent.BTSuggestPiece,2.1666666666666665,6,3,5,49,45,12,12,12,1.0833333333333333,0,5,10,1,7,0.8123406326034064
com.aelitis.azureus.core.peermanager.messaging.bittorrent.BTUnchoke,1.0909090909090908,2,1,4,39,32,11,11,12,1.0,0,3,9,1,7,0.7549019607843137
com.aelitis.azureus.core.peermanager.messaging.bittorrent.BTUninterested,1.0909090909090908,2,1,4,39,32,11,11,12,1.0,0,3,9,1,7,0.7549019607843137
com.aelitis.azureus.core.peermanager.messaging.bittorrent.ltep.LTDisabledExtensionMessage,0.8181818181818182,0,1,3,38,29,11,10,12,1.0,0,2,8,1,1,0.9696666666666666
com.aelitis.azureus.core.peermanager.messaging.bittorrent.ltep.LTHandshake,4.727272727272728,25,7,9,120,114,22,22,12,1.818181818181818,0,12,29,1,1,0.493388429752066
com.aelitis.azureus.core.peermanager.messaging.bittorrent.ltep.LTMessageDecoder,7.333333333333332,3,12,6,42,65,3,2,24,2.0,0,2,6,1,1,0.34865483234714
com.aelitis.azureus.core.peermanager.messaging.bittorrent.ltep.LTMessageEncoder,9.6,16,15,11,78,110,5,5,12,3.0,0,14,8,1,1,0.3760218907773537
com.aelitis.azureus.core.peermanager.messaging.bittorrent.ltep.LTMessageFactory,5.0,0,8,5,21,26,0,1,12,1.0,1,3,0,0,1,0.2444
com.aelitis.azureus.core.peermanager.messaging.bittorrent.ltep.UTMetaData,2.9411764705882355,8,7,8,85,79,17,17,12,1.2352941176470589,0,9,13,3,1,0.8085695364238412
com.aelitis.azureus.core.peermanager.messaging.bittorrent.ltep.UTPeerExchange,5.388888888888888,34,7,12,133,143,18,15,12,2.5,0,15,19,1,1,0.5930090090090091
com.aelitis.azureus.core.peermanager.nat.PeerNATTraverser,10.818181818181818,33,18,15,161,186,9,10,12,3.272727272727273,2,14,11,1,2,0.3229824561403508
com.aelitis.azureus.core.peermanager.peerdb.PeerDatabase,9.764705882352944,37,15,8,142,150,17,12,12,3.5882352941176467,0,14,16,1,5,0.7255143320713899
com.aelitis.azureus.core.peermanager.peerdb.PeerDatabaseFactory,1.0,0,3,1,9,5,0,1,12,1.0,1,1,1,0,5,0.4
com.aelitis.azureus.core.peermanager.peerdb.PeerExchangerItem,5.4,16,8,6,71,84,15,8,12,1.6666666666666667,0,7,12,1,5,0.7025453135237215
com.aelitis.azureus.core.peermanager.peerdb.PeerItem,3.882352941176471,10,5,3,86,78,15,15,12,1.3529411764705883,2,6,28,2,5,0.80170564700503
com.aelitis.azureus.core.peermanager.peerdb.PeerItemFactory,1.0,0,7,2,36,12,0,2,12,1.0,2,2,2,0,5,0.1273468780626311
com.aelitis.azureus.core.peermanager.piecepicker.EndGameModeChunk,1.4285714285714286,0,4,2,31,20,7,7,12,1.0,0,0,6,1,1,0.6226730045686644
com.aelitis.azureus.core.peermanager.piecepicker.PiecePickerFactory,1.0,0,4,3,18,18,0,1,12,1.0,1,1,1,0,1,0.4
com.aelitis.azureus.core.peermanager.piecepicker.util.BitFlags,6.142857142857142,24,10,1,38,75,14,14,12,1.5,0,3,13,3,0,0.6964768020863854
com.aelitis.azureus.core.peermanager.unchoker.DownloadingUnchoker,13.0,29,20,5,66,82,6,5,12,5.833333333333332,0,8,4,1,10,0.3625020576131688
com.aelitis.azureus.core.peermanager.unchoker.SeedingUnchoker,13.0,27,18,4,82,82,7,5,12,6.428571428571429,0,14,7,1,10,0.296427927927928
com.aelitis.azureus.core.peermanager.unchoker.UnchokerUtil,9.666666666666666,23,15,4,78,84,0,6,12,4.833333333333333,6,5,6,0,10,0.2715798042200301
com.aelitis.azureus.core.peermanager.uploadslots.DownloadingRanker,6.0,7,10,4,41,46,3,3,12,4.0,0,2,2,1,1,0.233090909090909
com.aelitis.azureus.core.peermanager.uploadslots.SeedingRanker,5.0,4,8,5,34,34,3,2,12,2.333333333333333,0,0,4,1,1,0.544
com.aelitis.azureus.core.peermanager.uploadslots.UploadSession,2.1666666666666665,2,3,5,43,38,6,0,12,1.6666666666666667,0,0,4,1,1,0.3303386243386243
com.aelitis.azureus.core.peermanager.uploadslots.UploadSessionPicker,7.666666666666668,19,12,8,81,74,9,0,12,3.4444444444444446,0,12,7,1,1,0.4764484126984127
com.aelitis.azureus.core.peermanager.uploadslots.UploadSlotManager,8.3,32,12,5,89,96,9,4,12,3.5,1,8,16,1,1,0.0786666666666666
com.aelitis.azureus.core.peermanager.utils.BTPeerIDByteDecoder,15.947368421052632,67,20,9,139,176,0,5,12,3.684210526315789,19,16,70,0,77,0.7853014354066985
com.aelitis.azureus.core.peermanager.utils.BTPeerIDByteDecoderDefinitions,3.4210526315789487,8,5,6,105,76,0,8,12,1.5263157894736843,19,11,16,0,77,0.5349672447013487
com.aelitis.azureus.core.peermanager.utils.BTPeerIDByteDecoderUtils,9.0,74,13,1,76,101,0,16,12,2.421052631578948,19,4,67,0,77,0.4721388658047927
com.aelitis.azureus.core.peermanager.utils.ClientIdentifier,12.083333333333336,46,16,3,86,115,0,4,12,2.75,12,4,40,0,77,0.5090892219407223
com.aelitis.azureus.core.peermanager.utils.OutgoingBTHaveMessageAggregator,6.571428571428571,9,11,6,79,74,7,6,12,1.8571428571428568,0,7,5,1,77,0.5044078947368421
com.aelitis.azureus.core.peermanager.utils.OutgoingBTPieceMessageHandler,9.909090909090908,26,15,11,136,153,11,10,12,3.090909090909092,0,12,14,1,77,0.2182268041237113
com.aelitis.azureus.core.peermanager.utils.PeerClassifier,2.8571428571428568,3,6,5,51,47,0,7,12,1.5714285714285714,7,1,9,0,77,0.3844629629629629
com.aelitis.azureus.core.peermanager.utils.PeerMessageLimiter,8.5,5,13,2,42,32,2,2,12,3.5,0,4,2,1,77,0.9216
com.aelitis.azureus.core.proxy.AEProxyException,1.0,0,5,0,11,4,2,2,44,1.0,0,0,0,2,2,1.0
com.aelitis.azureus.core.proxy.AEProxyFactory,1.0,0,6,6,20,11,0,2,12,1.0,2,1,2,0,2,0.74
com.aelitis.azureus.core.proxy.impl.AEProxyAddressMapperImpl,12.0,15,19,5,66,75,5,5,12,3.5,1,7,16,1,1,0.1536944214045908
com.aelitis.azureus.core.proxy.impl.AEProxyConnectionImpl,3.04,7,7,10,97,65,25,18,12,1.12,0,4,14,1,1,0.2786666666666667
com.aelitis.azureus.core.proxy.socks.impl.AESocksProxyAddressImpl,7.0,7,12,3,41,29,4,3,12,2.0,0,0,3,1,0,0.3279058699403644
com.aelitis.azureus.core.proxy.socks.impl.AESocksProxyConnectionImpl,2.3846153846153846,53,6,17,137,186,13,10,12,1.0769230769230769,0,46,45,1,0,0.1739328859060402
com.aelitis.azureus.core.proxy.socks.impl.AESocksProxyPlugableConnectionDefault,3.8571428571428568,22,8,8,116,154,7,7,12,1.1428571428571428,0,7,10,1,0,0.3231682859717047
com.aelitis.azureus.core.proxy.socks.impl.AESocksProxyState,2.888888888888889,2,7,7,50,42,9,4,12,1.2222222222222223,0,5,5,1,0,0.652
com.aelitis.azureus.core.rssgen.RSSGeneratorPlugin,7.7,15,13,13,126,146,6,8,45,2.3,4,10,9,1,4,0.4305
com.aelitis.azureus.core.security.CryptoManagerException,1.0,0,5,0,11,4,2,2,44,1.0,0,0,0,2,7,1.0
com.aelitis.azureus.core.security.CryptoManagerFactory,5.0,0,9,3,19,17,0,1,12,1.0,1,0,2,0,7,0.1866666666666666
com.aelitis.azureus.core.security.CryptoManagerPasswordException,1.6666666666666667,0,6,1,14,4,3,3,46,1.0,0,0,1,2,7,1.0
com.aelitis.azureus.core.security.impl.CryptoHandlerECC,10.571428571428571,37,17,18,205,256,28,21,12,3.071428571428572,0,28,31,1,2,0.4079964074703485
com.aelitis.azureus.core.security.impl.CryptoManagerImpl,10.208333333333334,28,16,23,208,296,22,12,12,4.166666666666667,2,36,23,1,2,0.6582631578947368
com.aelitis.azureus.core.security.impl.CryptoSTSEngineImpl,8.76923076923077,15,15,4,98,83,13,8,12,2.4615384615384617,0,20,8,1,2,0.019
com.aelitis.azureus.core.speedmanager.SpeedLimitHandler,10.823529411764708,159,17,12,316,530,33,13,12,4.0588235294117645,1,62,45,1,2,0.1609999999999999
com.aelitis.azureus.core.speedmanager.SpeedManagerFactory,1.0,0,6,4,13,14,0,1,12,1.0,1,1,1,0,2,0.2773333333333333
com.aelitis.azureus.core.speedmanager.impl.SpeedManagerImpl,7.704545454545454,65,13,30,301,357,44,36,12,2.409090909090909,0,35,40,1,1,0.5454527559055118
com.aelitis.azureus.core.speedmanager.impl.SpeedManagerPingMapperImpl,13.75609756097561,151,21,12,318,317,40,17,12,4.414634146341464,1,44,74,1,1,0.6134594594594593
com.aelitis.azureus.core.speedmanager.impl.TestPingSourceImpl,3.7,7,9,6,78,76,10,4,12,1.8,0,8,6,1,1,0.57225
com.aelitis.azureus.core.speedmanager.impl.TestPingSourceRandom,1.5,1,6,3,21,10,2,0,22,1.5,0,1,0,1,1,0.9776666666666668
com.aelitis.azureus.core.speedmanager.impl.v1.SpeedManagerAlgorithmProviderV1,11.0,39,16,7,156,110,14,13,12,3.1428571428571432,0,3,7,1,0,0.5433706140350877
com.aelitis.azureus.core.speedmanager.impl.v2.LimitControlDropUploadFirst,9.333333333333334,23,14,7,78,46,9,6,12,2.0,0,2,5,0,20,0.661975758744856
com.aelitis.azureus.core.speedmanager.impl.v2.LimitControlPreferDownload,1.5,2,4,6,46,12,6,6,12,1.5,0,1,2,0,20,0.6710526315789473
com.aelitis.azureus.core.speedmanager.impl.v2.LimitControlSetting,1.0,0,3,0,13,6,3,3,12,1.0,0,0,1,1,20,0.6799999999999999
com.aelitis.azureus.core.speedmanager.impl.v2.PingSourceManager,13.25,30,18,5,71,63,8,4,12,5.25,0,2,14,0,20,0.5795884773662551
com.aelitis.azureus.core.speedmanager.impl.v2.PingSourceStats,9.0,15,13,3,32,45,6,6,12,1.5,0,0,3,1,20,0.4895565028556961
com.aelitis.azureus.core.speedmanager.impl.v2.PingSpaceMapper,5.461538461538462,20,8,2,72,22,13,7,12,2.5384615384615383,0,8,18,1,20,0.5971935483870967
com.aelitis.azureus.core.speedmanager.impl.v2.PingSpaceMon,7.777777777777778,7,11,10,83,81,5,6,12,3.4444444444444446,4,6,21,0,20,0.6761739130434785
com.aelitis.azureus.core.speedmanager.impl.v2.PingSpaceMonitor,7.777777777777778,11,11,4,72,33,9,7,12,1.6666666666666667,0,2,10,1,20,0.6705993776193157
com.aelitis.azureus.core.speedmanager.impl.v2.SMConfigurationAdapterImpl,1.6,0,3,7,50,32,5,5,12,1.8,0,4,8,1,20,0.4779759183051364
com.aelitis.azureus.core.speedmanager.impl.v2.SMConst,2.8571428571428568,3,5,2,47,17,1,6,12,1.5714285714285714,6,2,15,1,20,0.5481579354956267
com.aelitis.azureus.core.speedmanager.impl.v2.SMInstance,1.0,0,3,3,19,12,3,4,12,1.0,2,2,3,1,20,0.4282967473161354
com.aelitis.azureus.core.speedmanager.impl.v2.SMSearchLogger,8.0,1,10,9,50,65,1,1,12,5.5,1,2,0,1,20,0.037
com.aelitis.azureus.core.speedmanager.impl.v2.SaturatedMode,4.0,9,7,1,35,14,6,5,12,1.2857142857142858,1,6,13,1,20,0.5666549586776859
com.aelitis.azureus.core.speedmanager.impl.v2.SpeedLimitConfidence,4.5,15,7,2,52,47,7,9,12,1.2,3,6,23,1,20,0.6246898615330827
com.aelitis.azureus.core.speedmanager.impl.v2.SpeedLimitListener,12.0,3,14,6,36,40,2,2,12,4.0,0,0,0,1,20,0.2038367470793506
com.aelitis.azureus.core.speedmanager.impl.v2.SpeedLimitMonitor,8.486486486486486,101,12,25,335,529,74,64,12,2.689189189189189,0,24,62,1,20,0.4616666666666666
com.aelitis.azureus.core.speedmanager.impl.v2.SpeedManagerAlgorithmProviderDHTPing,10.84,27,14,17,200,193,25,13,12,2.4,0,8,17,1,20,0.0176666666666666
com.aelitis.azureus.core.speedmanager.impl.v2.SpeedManagerAlgorithmProviderPingMap,9.423076923076923,27,12,13,174,160,26,13,12,2.230769230769231,0,6,22,1,20,0.3706666666666666
com.aelitis.azureus.core.speedmanager.impl.v2.SpeedManagerAlgorithmProviderV2,1.5714285714285714,2,5,5,51,41,14,13,12,1.1428571428571428,0,1,6,1,20,0.7324340277777779
com.aelitis.azureus.core.speedmanager.impl.v2.SpeedManagerLogger,1.3333333333333333,1,6,1,18,13,0,2,12,1.0,3,0,0,0,20,0.84
com.aelitis.azureus.core.speedmanager.impl.v2.TransferMode,2.4285714285714284,4,5,4,39,27,7,7,12,1.1428571428571428,0,4,6,1,20,0.5221972638728694
com.aelitis.azureus.core.speedmanager.impl.v3.SpeedManagerAlgorithmProviderV3,9.285714285714286,28,14,10,161,127,14,13,12,2.357142857142857,0,4,7,1,0,0.0196666666666666
com.aelitis.azureus.core.stats.AzureusCoreStats,15.333333333333336,34,23,8,209,169,0,7,12,6.0,9,20,6,0,9,0.4335653594771242
com.aelitis.azureus.core.subs.SubscriptionException,1.0,0,5,0,11,4,2,2,44,1.0,0,0,0,2,4,1.0
com.aelitis.azureus.core.subs.SubscriptionManagerFactory,1.0,0,4,2,13,13,0,3,12,1.0,3,0,2,0,4,0.8800000000000001
com.aelitis.azureus.core.subs.SubscriptionUtils,21.0,7,32,8,49,41,0,1,12,10.0,1,6,3,0,4,0.17
com.aelitis.azureus.core.subs.impl.SubscriptionBodyImpl,6.458333333333332,21,12,11,136,161,19,1,12,2.083333333333333,5,33,19,3,15,0.4757314814814815
com.aelitis.azureus.core.subs.impl.SubscriptionDownloader,8.8,6,14,14,78,73,5,0,12,4.4,0,9,1,1,15,0.0744230769230769
com.aelitis.azureus.core.subs.impl.SubscriptionHistoryImpl,8.81578947368421,93,14,17,184,224,38,24,12,3.263157894736842,0,21,26,1,15,0.046
com.aelitis.azureus.core.subs.impl.SubscriptionImpl,6.373737373737375,101,11,39,371,490,92,47,12,1.9898989898989896,7,72,89,3,15,0.094
com.aelitis.azureus.core.subs.impl.SubscriptionRSSFeed,18.83333333333333,23,27,16,135,181,6,3,12,6.333333333333332,0,3,33,1,15,0.1995294117647058
com.aelitis.azureus.core.subs.impl.SubscriptionResultFilter,12.714285714285715,27,20,2,84,67,7,3,12,4.285714285714286,0,6,11,1,15,0.5886666666666667
com.aelitis.azureus.core.subs.impl.SubscriptionResultImpl,5.894736842105262,19,10,10,110,129,19,10,12,2.1578947368421053,0,11,15,2,15,0.227
com.aelitis.azureus.core.subs.impl.SubscriptionSchedulerImpl,13.764705882352946,38,22,23,217,298,17,9,12,4.411764705882354,0,26,7,1,15,0.1776666666666666
com.aelitis.azureus.core.torrent.PlatformTorrentUtils,5.074074074074074,68,8,21,240,198,0,46,12,2.092592592592593,54,17,80,0,54,0.3594418604651163
com.aelitis.azureus.core.update.AzureusRestarterFactory,1.0,0,5,3,12,14,0,1,12,1.0,1,1,1,0,1,0.2773333333333333
com.aelitis.azureus.core.update.impl.AzureusRestarterImpl,16.6875,46,25,23,182,211,16,4,12,4.125,0,16,36,1,0,0.104
com.aelitis.azureus.core.util.ByteCountedInputStream,2.25,0,6,0,26,16,8,8,31,1.5,0,0,5,1,56,0.6048067894648699
com.aelitis.azureus.core.util.CaseSensitiveFileMap,4.25,1,10,1,35,21,4,4,12,2.25,0,5,8,0,56,0.3055884958766733
com.aelitis.azureus.core.util.CopyOnWriteList,4.111111111111111,13,8,3,71,64,18,18,12,1.2777777777777777,0,13,17,2,56,0.7352460671557935
com.aelitis.azureus.core.util.CopyOnWriteMap,2.1666666666666665,0,4,0,20,19,6,6,12,1.5,0,3,4,1,56,0.6222117117117116
com.aelitis.azureus.core.util.CopyOnWriteSet,2.4,1,6,2,27,19,5,5,12,1.6,0,5,6,0,56,0.3894269005847954
com.aelitis.azureus.core.util.DNSUtils,9.5,14,16,0,79,81,0,5,12,4.0,6,8,7,0,56,0.1905555555555555
com.aelitis.azureus.core.util.DeleteFileOnCloseInputStream,2.9090909090909087,4,7,1,41,29,11,11,21,1.3636363636363635,0,3,8,1,56,0.6823616500183091
com.aelitis.azureus.core.util.GeneralUtils,18.33333333333333,31,27,1,84,73,0,5,12,5.166666666666667,6,7,8,0,56,0.4017484971890961
com.aelitis.azureus.core.util.HTTPUtils,23.0,25,32,2,87,105,0,4,12,8.0,4,10,7,0,56,0.107430249851279
com.aelitis.azureus.core.util.HashCodeUtils,6.75,7,10,0,14,6,0,4,12,2.5,4,0,4,0,56,0.3386972136109319
com.aelitis.azureus.core.util.Java15Utils,1.4,1,5,1,34,26,0,5,12,1.0,5,0,3,0,56,0.4008125
com.aelitis.azureus.core.util.LaunchManager,2.6666666666666665,1,7,7,48,26,5,6,12,1.3333333333333333,1,5,6,0,56,0.3708928571428572
com.aelitis.azureus.core.util.NetUtils,37.0,15,55,5,70,73,0,2,12,9.5,2,6,4,0,56,0.0173333333333333
com.aelitis.azureus.core.util.QTFastStartRAF,11.066666666666665,34,16,4,130,131,12,9,12,3.866666666666666,3,23,21,2,56,0.2440079365079365
com.aelitis.azureus.core.util.RegExUtil,10.666666666666666,10,18,1,52,30,0,3,12,4.333333333333333,3,4,8,0,56,0.2739780087434121
com.aelitis.azureus.core.util.UUIDGenerator,3.0,1,6,3,35,35,0,3,12,2.333333333333333,3,1,3,0,56,0.7957333333333333
com.aelitis.azureus.core.util.average.AverageFactory,1.0,0,3,4,13,5,0,5,12,1.0,5,5,5,0,5,0.5924444444444444
com.aelitis.azureus.core.util.average.ExponentialMovingAverage,2.4,2,4,1,18,14,5,5,12,1.0,0,0,4,2,5,0.6153846153846154
com.aelitis.azureus.core.util.average.MovingAverage,2.8,3,4,1,18,7,5,4,12,1.6,0,1,3,1,5,0.6174626865671641
com.aelitis.azureus.core.util.average.MovingImmediateAverage,3.2857142857142856,7,5,1,25,8,7,6,12,2.0,0,2,6,1,5,0.6809749103942652
com.aelitis.azureus.core.util.average.RunningAverage,1.75,1,3,1,14,6,4,4,12,1.0,0,0,2,1,5,0.9913333333333332
com.aelitis.azureus.core.util.bloom.BloomFilterFactory,1.0,0,5,6,27,15,0,5,12,1.0,5,4,5,0,5,0.4576762373661129
com.aelitis.azureus.core.util.bloom.impl.BloomFilterAddOnly,3.4444444444444446,5,7,2,33,18,9,3,37,1.4444444444444444,0,3,9,2,3,0.6073281077136737
com.aelitis.azureus.core.util.bloom.impl.BloomFilterAddRemove4Bit,3.7777777777777777,6,8,2,32,18,9,3,37,1.4444444444444444,0,2,10,2,3,0.6464944815015122
com.aelitis.azureus.core.util.bloom.impl.BloomFilterAddRemove8Bit,2.7777777777777777,4,7,2,31,18,9,3,37,1.2222222222222223,0,2,9,2,3,0.5836811979316288
com.aelitis.azureus.core.util.bloom.impl.BloomFilterImpl,4.44,20,10,4,102,71,22,12,12,2.28,3,7,23,2,3,0.8202566510172143
com.aelitis.azureus.core.util.bloom.impl.BloomFilterRotator,4.75,11,9,2,57,59,12,11,12,2.583333333333333,0,6,9,2,3,0.7296558666039619
com.aelitis.azureus.core.util.http.HTTPAuthHelper,8.642857142857142,143,15,6,259,369,13,7,12,2.642857142857143,1,44,27,2,1,0.2049247311827957
com.aelitis.azureus.core.util.loopcontrol.impl.PIDLoopControler,5.333333333333333,2,7,1,28,17,3,3,12,2.6666666666666665,0,0,2,1,0,0.3402777777777777
com.aelitis.azureus.core.util.png.CRCedChunk,5.5,6,10,1,36,25,3,3,13,2.1666666666666665,3,2,3,1,6,0.587076923076923
com.aelitis.azureus.core.util.png.IDATChunk,9.5,2,13,1,33,20,2,2,19,5.0,0,4,2,1,6,0.815365333333333
com.aelitis.azureus.core.util.png.PNG,5.333333333333333,0,7,5,40,28,0,3,12,3.333333333333333,3,6,3,0,6,0.2678689477237654
com.aelitis.azureus.core.versioncheck.VersionCheckClient,17.694444444444443,120,26,42,435,514,32,23,12,5.333333333333333,4,85,72,1,5,0.1853333333333333
com.aelitis.azureus.core.versioncheck.VersionCheckClientUDPCodecs,37.0,3,61,4,42,19,0,1,12,7.0,1,10,3,0,5,0.0484
com.aelitis.azureus.core.versioncheck.VersionCheckClientUDPReply,2.5,1,6,4,45,29,6,5,30,1.5,0,2,3,2,5,0.6540246913580248
com.aelitis.azureus.core.versioncheck.VersionCheckClientUDPRequest,2.5,1,7,4,46,29,6,5,32,1.5,0,2,3,2,5,0.6791440329218108
com.aelitis.azureus.core.vuzefile.VuzeFileHandler,4.916666666666667,9,10,10,88,73,11,10,12,2.25,1,11,15,1,2,0.5182046204620463
com.aelitis.azureus.core.vuzefile.VuzeFileImpl,5.0,7,9,5,84,37,8,6,12,3.125,0,12,23,2,2,0.6221357238797439
com.aelitis.azureus.core.vuzefile.VuzeFileMerger,10.333333333333334,6,16,3,50,36,2,1,12,4.666666666666667,1,3,6,1,2,0.3267100025195263
com.aelitis.azureus.launcher.Launcher,4.4,4,7,3,54,36,0,5,12,1.6,5,4,6,0,7,0.2121818181818181
com.aelitis.azureus.launcher.LauncherTest,8.0,1,12,2,17,30,0,1,12,1.0,1,0,5,0,7,0.3037333333333333
com.aelitis.azureus.launcher.MainExecutor,12.0,0,19,0,34,16,0,0,12,4.0,1,4,1,0,7,0.1679999999999999
com.aelitis.azureus.launcher.classloading.PrimaryClassloader,7.5,9,13,2,71,65,6,2,107,2.75,2,5,10,2,2,0.8410000000000001
com.aelitis.azureus.launcher.classloading.SecondaryClassLoader,2.333333333333333,0,6,2,24,9,3,1,107,1.0,0,0,3,1,2,0.5283018867924528
com.aelitis.azureus.plugins.clientid.ClientIDPlugin,17.0,3,25,4,57,58,0,1,12,5.5,2,2,3,0,2,0.2222670324645632
com.aelitis.azureus.plugins.dht.DHTPlugin,22.942857142857147,120,35,42,423,573,34,30,12,5.971428571428572,1,60,55,0,1,0.0930731707317073
com.aelitis.azureus.plugins.dht.impl.DHTPluginContactImpl,2.230769230769231,1,6,8,53,61,13,11,12,1.2307692307692308,0,1,12,1,7,0.6626666666666666
com.aelitis.azureus.plugins.dht.impl.DHTPluginImpl,13.75,49,22,48,343,453,36,31,12,3.4722222222222223,0,31,51,1,7,0.0163333333333333
com.aelitis.azureus.plugins.dht.impl.DHTPluginStorageManager,10.285714285714286,130,17,26,368,593,51,27,12,3.1607142857142856,5,84,81,1,7,0.3663333333333333
com.aelitis.azureus.plugins.dht.impl.DHTPluginValueImpl,1.0,0,4,2,18,21,6,5,12,1.0,0,0,5,1,7,0.5804988662131519
com.aelitis.azureus.plugins.extseed.ExternalSeedException,1.0,0,5,0,15,4,4,4,44,1.0,0,0,1,2,1,1.0
com.aelitis.azureus.plugins.extseed.ExternalSeedManualPeer,1.0,0,5,3,20,7,4,3,12,1.0,0,0,3,1,1,0.6666666666666667
com.aelitis.azureus.plugins.extseed.ExternalSeedPeer,3.6301369863013697,37,7,22,231,192,73,63,12,1.2739726027397258,0,11,53,1,1,0.0096666666666666
com.aelitis.azureus.plugins.extseed.ExternalSeedPlugin,15.5,41,24,28,215,266,15,12,12,5.8125,1,24,19,0,1,0.1053265306122449
com.aelitis.azureus.plugins.extseed.impl.ExternalSeedReaderImpl,9.791666666666666,112,17,31,313,323,48,25,12,2.833333333333333,0,19,58,1,0,0.024
com.aelitis.azureus.plugins.extseed.impl.ExternalSeedReaderRequest,2.8125,11,6,4,55,48,16,14,12,1.625,0,3,12,1,0,0.7802971274447279
com.aelitis.azureus.plugins.extseed.impl.getright.ExternalSeedReaderFactoryGetRight,17.0,12,25,9,82,91,3,4,12,6.75,1,16,4,1,1,0.1483333333333333
com.aelitis.azureus.plugins.extseed.impl.webseed.ExternalSeedReaderFactoryWebSeed,12.75,6,19,8,72,75,3,4,12,5.75,1,12,4,1,1,0.1173333333333333
com.aelitis.azureus.plugins.extseed.util.ExternalSeedHTTPDownloaderLinear,3.125,34,9,5,159,136,8,7,12,1.25,0,20,16,1,1,0.4001105368781856
com.aelitis.azureus.plugins.extseed.util.ExternalSeedHTTPDownloaderRange,22.285714285714285,60,33,7,179,176,13,14,12,5.785714285714287,1,38,14,1,1,0.427294964028777
com.aelitis.azureus.plugins.magnet.MagnetPlugin,48.21428571428572,113,72,48,390,642,13,8,12,12.071428571428571,1,54,49,0,1,0.0844107142857143
com.aelitis.azureus.plugins.magnet.MagnetPluginException,1.0,0,6,0,11,4,1,1,44,1.0,0,0,0,1,1,1.0
com.aelitis.azureus.plugins.magnet.MagnetPluginMDDownloader,56.8,46,79,26,228,326,5,0,12,12.8,0,34,14,1,1,0.1656666666666666
com.aelitis.azureus.plugins.net.buddy.BuddyPlugin,14.477064220183484,261,23,83,859,1108,108,42,12,4.477064220183486,1,157,152,0,1,0.2004384858044163
com.aelitis.azureus.plugins.net.buddy.BuddyPluginAZ2,10.55,43,17,18,203,239,20,9,12,3.0,0,55,21,1,1,0.2870880355747851
com.aelitis.azureus.plugins.net.buddy.BuddyPluginBuddy,7.563106796116505,214,13,25,515,537,103,53,12,2.135922330097088,0,104,122,1,1,0.0183333333333333
com.aelitis.azureus.plugins.net.buddy.BuddyPluginBuddyMessageHandler,12.06451612903226,68,20,12,177,239,31,7,12,3.774193548387097,0,35,13,1,1,0.2972252252252252
com.aelitis.azureus.plugins.net.buddy.swt.BuddyPluginView,26.5,17,41,9,158,223,2,2,12,5.0,0,12,2,1,0,0.0183333333333333
com.aelitis.azureus.plugins.net.buddy.swt.BuddyPluginViewChat,18.3,16,26,12,209,305,10,4,12,4.1,0,25,3,1,0,0.0096666666666666
com.aelitis.azureus.plugins.net.buddy.swt.BuddyPluginViewInstance,53.875,125,71,21,515,845,16,8,12,15.0625,0,142,39,1,0,0.0026666666666666
com.aelitis.azureus.plugins.net.buddy.tracker.BuddyPluginTracker,10.306122448979592,184,17,37,434,648,49,21,12,3.673469387755102,0,73,41,1,0,0.0063333333333333
com.aelitis.azureus.plugins.net.netstatus.NetStatusPlugin,10.125,3,18,15,103,126,7,8,12,3.0,1,8,3,0,1,0.1045714285714285
com.aelitis.azureus.plugins.net.netstatus.NetStatusProtocolTester,17.307692307692307,31,27,30,208,273,13,6,12,5.384615384615384,0,25,17,1,1,0.0303333333333333
